descricao,preco,modelo,marca,rating,url
Notebook Acer A515-54-53VN Intel Core I5 8GB 256GB SSD W10 15.6'' IPS FHD - Preto,"R$ 3.422,10",A515-54-53VN,Acer,4.6,https://www.americanas.com.br/produto/3735745003?pfm_index=7&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i Intel Core i5-10210U 8GB (GeForce MX330 2GB) 256GB SSD W10 15.6"" Prata","R$ 3.609,99",IdeaPad 3i,Lenovo,4.5,https://www.americanas.com.br/produto/3171320172?pfm_index=8&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Positivo Motion Q464C Intel Atom Z8350 4GB eMMC 64GB W10 14.1'' - Vermelho,"R$ 1.424,99",Motion Red,Positivo,2.7,https://www.americanas.com.br/produto/2831155071?pfm_index=9&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Compaq Presario 420 Intel Pentium-N3700 4GB 120GB W10 14,1'' Cinza","R$ 1.499,99",3011933,COMPAQ,3.2,https://www.americanas.com.br/produto/3252219113?pfm_index=10&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo Motion Q464C Intel Atom Quad Core 4GB 64GB eMMC 14,1'' W10 - Cinza","R$ 1.424,99",Motion Gray,Positivo,2.8,https://www.americanas.com.br/produto/2859505618?pfm_index=11&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Positivo 2 em 1 Duo C464C Intel Celeron 4GB 64GB W10 IPS Full HD 11.6""","R$ 1.690,24",DUO C464C,POSITIVO,3.5,https://www.americanas.com.br/produto/1885941991?pfm_index=12&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Acer A515-54g-53xp Ci5-10210u 8gb 256gbssd W10 15,6 Mx250-2gb","R$ 3.710,49",A515-54G-53XP,Acer,4.5,https://www.americanas.com.br/produto/3280454444?pfm_index=13&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I7-1165G7 8GB 256GB SSD (Intel Iris Xe) Windows 10 FHD 15.6'' Cinza Chumbo NP550XDA-KS1BR,"R$ 4.799,00",NP550XDA-XF1BR,Samsung,4.2,https://www.americanas.com.br/produto/3081358100?pfm_index=14&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ideapad 3i Intel Celeron-N4020 4GB 128GB SSD Tela 15,6"" Windows 11 - Prata","R$ 2.279,99",IdeaPad 3i,Lenovo,4.0,https://www.americanas.com.br/produto/4199005924?pfm_index=15&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad 3i I3-10110u 4GB 256GB SSD Tela 15,6"" Windows 11 - Prata","R$ 2.659,99",IdeaPad 3i,Lenovo,4.2,https://www.americanas.com.br/produto/4120059234?pfm_index=16&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Acer AN515-55-51D3 Intel Core i5-10300H 8GB (GeForce GTX 1650) 512GB SSD W10 15,6'' - Black","R$ 5.129,99",AN515-55-51D3,Acer,4.6,https://www.americanas.com.br/produto/3735744983?pfm_index=17&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"Notebook Lenovo Ultrafino Ideapad S145 Intel Core i5-1035G1 8GB 256GB SSD W10 15.6"" Prata","R$ 3.799,00",ideapad S145,Lenovo,4.2,https://www.americanas.com.br/produto/3515105021?pfm_index=18&pfm_page=search&pfm_pos=grid&pfm_type=search_page
"MacBook Air 13"" Apple M1 (8GB 256GB) Prateado","R$ 8.074,99",MGN93BZ/A,Apple Computer Brasil,4.8,https://www.americanas.com.br/produto/2520061528?pfm_index=19&pfm_page=search&pfm_pos=grid&pfm_type=search_page
Notebook Samsung Book Intel Core I3-1115G4 4GB 1TB W10 FHD 15.6'' Branco NP550XDA-KT2BR,"R$ 2.839,55",NP550XDA-KT2BR,Samsung,2.7,https://www.americanas.com.br/produto/3081358708?pfm_index=20&pfm_page=search&pfm_pos=grid&pfm_type=search_page
