descricao,preco,modelo,marca,rating,url
"        Notebook Lenovo Ultrafino ideapad S145 i7-1065G7, 8GB 256GB SSD Placa de Vídeo Intel® Iris Plus Windows 10 15.6"" Full HD, Prata       ","R$4.299,00",82DJ0000BR,Lenovo,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Lenovo-Ultrafino-ideapad-i7-1065G7/dp/B08GHMC5LF/ref=sr_1_27?qid=1639236229&s=computers&sr=1-27&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Gamer Legion 5i i7-10750H 16GB 512GB SSD RTX2060 6GB W10 15.6"" Full HD WVA 82CF0002BR       ",,82CF0002BR,Lenovo,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Legion-i7-10750H-RTX2060-82CF0002BR/dp/B08GL1W94V/ref=sr_1_28?qid=1639236229&s=computers&sr=1-28
"        NOTEBOOK ACER 15,6 HD LED A315-34-C6ZS/ CELERON N4000/ 4GB/ 1TB/ LINUX       ","R$2.474,91",A315-34-C6ZS,ACER,"4,3 de 5 estrelas",https://www.amazon.com.br//Notebook-Acer-A315-34-C6ZS-Celeron-Endless/dp/B003PEK9OA/ref=sr_1_29?qid=1639236229&s=computers&sr=1-29&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Dell Inspiron 3501-M46S 15.6"" HD 10ª Geração Intel Core i5 8GB 256GB SSD Windows       ","R$4.349,00",i15-3501-M46S,Dell,"4,7 de 5 estrelas",https://www.amazon.com.br//Notebook-Dell-Inspiron-3501-M46S-Gera%C3%A7%C3%A3o/dp/B09F3TKM7Z/ref=sr_1_30?qid=1639236229&s=computers&sr=1-30&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        SAMSUNG Chromebook SS 11.6 Intel DC 4GB 32GB XE310XBA-KT1BR       ,"R$1.999,90",XE310XBA-KT1BR,SAMSUNG,"4,5 de 5 estrelas",https://www.amazon.com.br//SAMSUNG-Chromebook-11-6-Intel-XE310XBA-KT1BR/dp/B08LW3HX81/ref=sr_1_31?qid=1639236229&s=computers&sr=1-31&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        MacBook Air (de 13 polegadas, Processador M1 da Apple com CPU 8‑core e GPU 8‑core, 8 GB RAM, 512 GB)- Cinzento sideral       ","R$9.938,20",,Apple,"5,0 de 5 estrelas",https://www.amazon.com.br//MacBook-Air-13-polegadas-Processador-Apple-GPU-8%E2%80%91core/dp/B08ZK5DXCT/ref=sr_1_32?qid=1639236229&s=computers&sr=1-32&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook Gamer Acer Nitro 5 AN515-44-R54Q AMD Ryzen 5 Windows 10 Home 8GB 512GB SSD GTX 1650 15.6' Full HD       ,"R$5.393,44",AN515-44-R54Q,ACER,,https://www.amazon.com.br//Notebook-Gamer-Nitro-AN515-44-R54Q-Windows/dp/B09B8TPYG8/ref=sr_1_33?qid=1639236229&s=computers&sr=1-33&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
        Notebook ASUS VivoBook X543UA-DM3458T INTEL CORE I5 8250U / Intel® HD graphics 620 / 4 GB / 256 GB SSD / Windows 10 Home / Cinza Escuro       ,"R$2.974,15",X543UA-DM3458T,ASUS,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-ASUS-VivoBook-X543UA-DM3458T-graphics/dp/B097F65Y5Z/ref=sr_1_34?qid=1639236229&s=computers&sr=1-34&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Positivo Motion C4120F-AX Intel Celeron Dual Core 4GB 120GB SSD 14"" HD Windows 11 Home – Cinza – com tecla Alexa integrada e Inclui Microsoft 365*       ","R$2.199,00",,Positivo,"5,0 de 5 estrelas",https://www.amazon.com.br//Notebook-Positivo-C4120F-AX-Celeron-Windows/dp/B09GKWBZ6G/ref=sr_1_35?qid=1639236229&s=computers&sr=1-35&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Lenovo Ultrafino ideapad S145, Intel Core i3-1005G1, 4GB RAM, 128GB SSD + Microsoft 365 Personal Windows 10 S 15.6""       ","R$2.903,93",82DJ0008BR,Lenovo,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-Lenovo-Ultrafino-i3-1005G1-Microsoft/dp/B08WJQ9JNY/ref=sr_1_36?qid=1639236229&s=computers&sr=1-36&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
"        Notebook Acer A315-56-34A9 Intel Core i3 1005G1 8GB 1TB 15.6"" Windows 10 Home       ","R$2.975,07",NX.HV1AL.00A,ACER,"4,6 de 5 estrelas",https://www.amazon.com.br//Notebook-A315-56-34A9-Intel-1005G1-Windows/dp/B087FZB32D/ref=sr_1_37?qid=1639236229&s=computers&sr=1-37&ufe=app_do%3Aamzn1.fos.25548f35-0de7-44b3-b28e-0f56f3f96147
