preco,descricao,url,marca,modelo,rating
"R$ 9.999,90","Ultrabook XPG Xenia XE Gaming 15.6´, Intel Core i5 1135G7, 8GB, SSD 1TB, Iris Xe, Touch Glass, Amazon Alexa - XENIAXe15TI5G11GXELX-SGCUS",https://www.kabum.com.br/produto/148805/ultrabook-xpg-xenia-xe-gaming-15-6-intel-core-i5-1135g7-8gb-ssd-1tb-iris-xe-touch-glass-amazon-alexa-xeniaxe15ti5g11gxelx-sgcus,XPG,XENIAXe15TI5G11GXELX-SGCUS,
"R$ 10.999,90","Ultrabook XPG Xenia XE Gaming 15,6´, Intel Core i7 1165G7, 16GB, SSD 1TB, Iris Xe, Touch Glass - XENIAXe15TI7G11GXELX-SGCUS",https://www.kabum.com.br/produto/148809/ultrabook-xpg-xenia-xe-gaming-15-6-intel-core-i7-1165g7-16gb-ssd-1tb-iris-xe-touch-glass-xeniaxe15ti7g11gxelx-sgcus,XPG,XENIAXe15TI7G11GXELX-SGCUS,
"R$ 9.269,10","Notebook Gamer Legion 5i, I7-10750H, 16GB, 1TB, 128GB SSD, RTX2060, 6GB, W10, 15.6'' Full HD WVA - 82cf0004br",https://www.kabum.com.br/produto/256773/notebook-gamer-legion-5i-i7-10750h-16gb-1tb-128gb-ssd-rtx2060-6gb-w10-15-6-full-hd-wva-82cf0004br,do Fornecedor,,
"R$ 6.399,00","Notebook Gamer Acer Nitro 5, Intel Core I7, 8GB, 512GB SSD, GTX 1650, 17.3"", Windows 10 Home - AN517-52-75WH",https://www.kabum.com.br/produto/275157/notebook-gamer-acer-nitro-5-intel-core-i7-8gb-512gb-ssd-gtx-1650-17-3-windows-10-home-an517-52-75wh,do Fornecedor,,
"R$ 5.449,00","Notebook Gamer Aspire Nitro 5 - An515-44-r5yz, Amd Ryzen 5, 16Gb, 512Gb, Ssd - Gtx1650 15,6'' Full Hd Endless",https://www.kabum.com.br/produto/254490/notebook-gamer-aspire-nitro-5-an515-44-r5yz-amd-ryzen-5-16gb-512gb-ssd-gtx1650-15-6-full-hd-endless,erModelo:Nitro5 AN515-44-R5YZ,"ções TécnicasCor : PretoSistema Operacional : Linux - EndlessPrazo de expedição : 3Placa de vídeo - Modelo : NVIDIA GeForce GTX 1650 com 4GBPlaca de vídeo : DedicadaTaxa de atualização : 144 HzResolução da tela : Full HD - 1920 x 1080Tela : 15,6 polegadasSistema Operacional : Linux Endless-OS",
"R$ 4.974,16","Notebook Gamer Asus, Intel  Core  I5 9300h, 16Gb, 256Gb Ssd, 15,6'' Full Hd 120hz Nvidia  Gtx 1650, Preto - X571gt-al888",https://www.kabum.com.br/produto/254565/notebook-gamer-asus-intel-core-i5-9300h-16gb-256gb-ssd-15-6-full-hd-120hz-nvidia-gtx-1650-preto-x571gt-al888,do Fornecedor, 12 Meses de Garantia ( 12 meses ),
"R$ 3.689,99","Notebook Acer Aspire 5 A514-53-39PV Intel Core I3 4GB 128GB SSD 14,0´ Windows 10",https://www.kabum.com.br/produto/147696/notebook-acer-aspire-5-a514-53-39pv-intel-core-i3-4gb-128gb-ssd-14-0-windows-10,do Fornecedor,arantia : 12,
"R$ 3.569,90","Notebook Lenovo Ultrafino Ideapad S145, Ryzen 5-3500U, 8GB, 256GB SSD M.2 NVM4e, 15.6, Dolby Audio, Windows 10 Home, Prata - 81V70008BR",https://www.kabum.com.br/produto/179446/notebook-lenovo-ultrafino-ideapad-s145-ryzen-5-3500u-8gb-256gb-ssd-m-2-nvm4e-15-6-dolby-audio-windows-10-home-prata-81v70008br,Lenovo,81V70008BR,5.0
"R$ 4.049,90","Notebook Acer Aspire 5 Intel Core i5-10210U, 8GB RAM, SSD 256GB, 15.6 Full HD, Windows 10, Preto -  A515-54-55L0",https://www.kabum.com.br/produto/184925/notebook-acer-aspire-5-intel-core-i5-10210u-8gb-ram-ssd-256gb-15-6-full-hd-windows-10-preto-a515-54-55l0,Acer,NX.AX0AL.002,5.0
"R$ 3.849,90","Notebook Acer Aspire 5 Intel Core i5-1035G1, 4GB RAM, SSD 256GB, 14.0 HD, Windows 10 Home, Prata - A514-53-5239",https://www.kabum.com.br/produto/184924/notebook-acer-aspire-5-intel-core-i5-1035g1-4gb-ram-ssd-256gb-14-0-hd-windows-10-home-prata-a514-53-5239,Acer,A514-53-5239,
